cat,min_r_ab,epsA0,epsAf,dEpsA,epsB0,epsBf,dEpsB,aA0,aAf,eA0,eAf,aB0,aBf,eB0,eBf,A_bef,A_aft,B_bef,B_aft,e_drift_scan,m_B,v_inf,b_impact,incoming_angle,A_phase,score
no_encounter,0.7661018373721331,-0.49963749999999996,-0.5427724623225403,-0.04313496232254033,0.1155274288993558,0.11607620695371985,0.0005487780543640547,1.0017262515323608,0.9221175257461384,0.026925824035672067,0.13466662758145354,-4.501095583569242,-4.479815576738535,1.0404561488780952,1.0438134980384208,True,True,False,False,4.151684354463366e-09,0.04,0.45,-0.9,0.0,0.0,-1.0
no_encounter,0.8982614900922612,-0.47277081507769936,-0.47210846788452915,0.0006623471931702096,0.11622526487136361,0.11506759275245508,-0.0011576721189085343,1.0586524887703639,1.0601377311504079,0.05543381032608623,0.08230297914109135,-4.474070251210253,-4.5190829803720325,1.0417719341122744,1.0448159591375636,True,True,False,False,3.3042958657328145e-09,0.04,0.45,-0.9,0.0,1.5,-1.0
no_encounter,0.47764009813624425,-0.49583655178101727,-0.38495569982939276,0.1108808519516245,0.1156261548271216,0.11223304131227167,-0.0033931135148499297,1.0094052126698443,1.300149602205695,0.028090658035131062,0.24835518429267678,-4.497252380116573,-4.633216688418678,1.0425642102741837,1.042356813698311,True,True,False,False,3.226322133956229e-09,0.04,0.45,-0.9,0.0,3.0,-1.0
perturbation,0.3751599286894179,-0.5259664480409116,-0.6369839576590095,-0.11101750961809786,0.11484356011907237,0.11794068697490846,0.003097126855836088,0.9515816110784868,0.785734073805243,0.05121282402091983,0.2072454932670159,-4.527898642822048,-4.4089958549302715,1.0413461977882212,1.038697580441668,True,True,False,False,4.256080308597776e-09,0.04,0.45,-0.9,0.0,4.5,0.8803344743076303
no_encounter,0.6747872914950843,-0.5189588803879908,-0.580453157734309,-0.06149427734631829,0.11502557486330406,0.11677377932308405,0.001748204459779995,0.9644309383930566,0.862257347265727,0.041523801455287834,0.13764429653732682,-4.52073376393003,-4.453054470056066,1.0405104343737739,1.0467121696083146,True,True,False,False,2.0250421627921787e-09,0.04,0.45,-0.9,0.8,0.0,-1.0
no_encounter,0.8622838619320113,-0.4822860407377203,-0.5113909332043646,-0.029104892466644272,0.11597811615292147,0.1159349590971538,-4.315705576767026e-05,1.037765885229477,0.9787033118946356,0.04161791442258848,0.1170737028070467,-4.483604469953285,-4.485273502052462,1.0409267557433475,1.0459451137800424,True,True,False,False,6.888334462883217e-10,0.04,0.45,-0.9,0.8,1.5,-1.0
no_encounter,0.8519837043488625,-0.47786133226587957,-0.4328154834513385,0.045045848814541045,0.11609304364569659,0.11399173163830348,-0.002101312007393108,1.0473749730424398,1.156381920556387,0.04780280080566422,0.11410046356594035,-4.4791658799728244,-4.56173436903269,1.042390395523194,1.0448969249866298,True,True,False,False,2.283921369056602e-09,0.04,0.45,-0.9,0.8,3.0,-1.0
perturbation,0.21815596357052436,-0.5139081889251633,-0.5616701216667094,-0.047761932741546054,0.11515676165454633,0.1166686023801865,0.0015118407256401734,0.9739093689999248,0.891092441440196,0.035381531762764214,0.10375839665026416,-4.515583735846315,-4.457068906212509,1.042168688157953,1.0476679528126966,True,True,False,False,1.0625859728515463e-09,0.04,0.45,-0.9,0.8,4.5,0.5763877979960983
no_encounter,0.9116249834534201,-0.49963749999999996,-0.5586476968563354,-0.05901019685633546,0.11507658971450072,0.11688213641966536,0.0018055467051646401,1.0017262515323608,0.8959134760895846,0.026925824035672067,0.14440663860951566,-4.518729667694307,-4.448926208303892,1.0178784143383874,1.0159005774114351,True,True,False,False,5.316153946475666e-09,0.04,0.45,-0.6,0.0,0.0,-1.0
no_encounter,1.0028319727992243,-0.47277081507769914,-0.4765379421729114,-0.0037671270952122637,0.11577442568650853,0.11518453198373274,-0.00058989370277579,1.0586524887703646,1.0502836305495984,0.05543381032609023,0.07384303694293595,-4.491492805224918,-4.514495054539428,1.0186879634719497,1.0220237194570991,True,True,False,False,5.156206660523455e-09,0.04,0.45,-0.6,0.0,1.5,-1.0
no_encounter,0.6773237974598058,-0.49583655178101727,-0.38229949795065477,0.1135370538303625,0.11517531564226652,0.1116787545565806,-0.003496561085685912,1.0094052126698443,1.3091829905165135,0.028090658035131062,0.2425767959121802,-4.514856304931825,-4.6562123840353955,1.019298248545549,1.0189293292446888,True,True,False,False,4.630772753608387e-09,0.04,0.45,-0.6,0.0,3.0,-1.0
no_encounter,0.48983822941785027,-0.5259664480409116,-0.6464936274565694,-0.12052717941565771,0.11439272093421729,0.11786705807908171,0.00347433714486442,0.9515816110784868,0.7741762312013244,0.05121282402091983,0.21622274757160237,-4.545743782937302,-4.41175005531326,1.0185601168378349,1.0229765906912902,True,True,False,False,7.516755185257516e-09,0.04,0.45,-0.6,0.0,4.5,-1.0
